package_id,pip_name,source_id,url,domain,source_family
PIP-0160,nvidia-nvjpeg-cu12,SRC-0013,https://developer.nvidia.com/cuda-downloads,developer.nvidia.com,nvidia_cuda_inference_docs
PIP-0161,nvidia-nvtx-cu12,SRC-0033,https://docs.nvidia.com/cuda/cuda-installation-guide-microsoft-windows/,docs.nvidia.com,nvidia_cuda_inference_docs
PIP-0161,nvidia-nvtx-cu12,SRC-0241,https://pypi.nvidia.com/,pypi.nvidia.com,nvidia_cuda_inference_docs
PIP-0161,nvidia-nvtx-cu12,SRC-0013,https://developer.nvidia.com/cuda-downloads,developer.nvidia.com,nvidia_cuda_inference_docs
PIP-0162,nvidia-cuda-cupti-cu12,SRC-0033,https://docs.nvidia.com/cuda/cuda-installation-guide-microsoft-windows/,docs.nvidia.com,nvidia_cuda_inference_docs
PIP-0162,nvidia-cuda-cupti-cu12,SRC-0241,https://pypi.nvidia.com/,pypi.nvidia.com,nvidia_cuda_inference_docs
PIP-0162,nvidia-cuda-cupti-cu12,SRC-0013,https://developer.nvidia.com/cuda-downloads,developer.nvidia.com,nvidia_cuda_inference_docs
PIP-0163,nvidia-cuda-sanitizer-api-cu12,SRC-0033,https://docs.nvidia.com/cuda/cuda-installation-guide-microsoft-windows/,docs.nvidia.com,nvidia_cuda_inference_docs
PIP-0163,nvidia-cuda-sanitizer-api-cu12,SRC-0241,https://pypi.nvidia.com/,pypi.nvidia.com,nvidia_cuda_inference_docs
PIP-0163,nvidia-cuda-sanitizer-api-cu12,SRC-0013,https://developer.nvidia.com/cuda-downloads,developer.nvidia.com,nvidia_cuda_inference_docs
PIP-0164,nvidia-nvml-dev-cu12,SRC-0033,https://docs.nvidia.com/cuda/cuda-installation-guide-microsoft-windows/,docs.nvidia.com,nvidia_cuda_inference_docs
PIP-0164,nvidia-nvml-dev-cu12,SRC-0241,https://pypi.nvidia.com/,pypi.nvidia.com,nvidia_cuda_inference_docs
PIP-0164,nvidia-nvml-dev-cu12,SRC-0013,https://developer.nvidia.com/cuda-downloads,developer.nvidia.com,nvidia_cuda_inference_docs
PIP-0165,nvidia-cuda-cccl-cu12,SRC-0033,https://docs.nvidia.com/cuda/cuda-installation-guide-microsoft-windows/,docs.nvidia.com,nvidia_cuda_inference_docs
PIP-0165,nvidia-cuda-cccl-cu12,SRC-0241,https://pypi.nvidia.com/,pypi.nvidia.com,nvidia_cuda_inference_docs
PIP-0165,nvidia-cuda-cccl-cu12,SRC-0013,https://developer.nvidia.com/cuda-downloads,developer.nvidia.com,nvidia_cuda_inference_docs
PIP-0166,nvidia-cutlass,SRC-0033,https://docs.nvidia.com/cuda/cuda-installation-guide-microsoft-windows/,docs.nvidia.com,nvidia_cuda_inference_docs
PIP-0166,nvidia-cutlass,SRC-0241,https://pypi.nvidia.com/,pypi.nvidia.com,nvidia_cuda_inference_docs
PIP-0166,nvidia-cutlass,SRC-0013,https://developer.nvidia.com/cuda-downloads,developer.nvidia.com,nvidia_cuda_inference_docs
PIP-0167,nvidia-cudnn-cu11,SRC-0241,https://pypi.nvidia.com/,pypi.nvidia.com,nvidia_cuda_inference_docs
PIP-0167,nvidia-cudnn-cu11,SRC-0219,https://onnxruntime.ai/docs/execution-providers/CUDA-ExecutionProvider.html,onnxruntime.ai,onnx_runtime_docs
PIP-0167,nvidia-cudnn-cu11,SRC-0038,https://docs.nvidia.com/deeplearning/cudnn/installation/latest/index.html,docs.nvidia.com,nvidia_cuda_inference_docs
PIP-0168,nvidia-cudnn,SRC-0241,https://pypi.nvidia.com/,pypi.nvidia.com,nvidia_cuda_inference_docs
PIP-0168,nvidia-cudnn,SRC-0038,https://docs.nvidia.com/deeplearning/cudnn/installation/latest/index.html,docs.nvidia.com,nvidia_cuda_inference_docs
PIP-0169,nvidia-cudnn-frontend,SRC-0036,https://docs.nvidia.com/deeplearning/cudnn/frontend/latest/index.html,docs.nvidia.com,nvidia_cuda_inference_docs
PIP-0169,nvidia-cudnn-frontend,SRC-0039,https://docs.nvidia.com/deeplearning/cudnn/installation/latest/python-frontend-install.html,docs.nvidia.com,nvidia_cuda_inference_docs
PIP-0169,nvidia-cudnn-frontend,SRC-0037,https://docs.nvidia.com/deeplearning/cudnn/installation/latest/cpp-frontend-install.html,docs.nvidia.com,nvidia_cuda_inference_docs
PIP-0169,nvidia-cudnn-frontend,SRC-0296,https://pypi.org/project/nvidia-cudnn-frontend/,pypi.org,pypi_package_metadata
PIP-0170,nvidia-cudnn-jit-cu12,SRC-0241,https://pypi.nvidia.com/,pypi.nvidia.com,nvidia_cuda_inference_docs
PIP-0170,nvidia-cudnn-jit-cu12,SRC-0034,https://docs.nvidia.com/deeplearning/cudnn/backend/latest/api/overview.html,docs.nvidia.com,nvidia_cuda_inference_docs
PIP-0170,nvidia-cudnn-jit-cu12,SRC-0040,https://docs.nvidia.com/deeplearning/cudnn/installation/latest/windows.html,docs.nvidia.com,nvidia_cuda_inference_docs
PIP-0171,nvidia-cudnn-jit-cu13,SRC-0241,https://pypi.nvidia.com/,pypi.nvidia.com,nvidia_cuda_inference_docs
