"source_path","file_name","extension","size_bytes","corpus","layer","lane_id","chapter","last_write_utc"
"AIWF_Atlas_VOL1_machine_facing_v3_3_api_cli_guide/01_CANONICAL_RESEARCH_LANES/02_atlas_architecture_chunking_embedding/QA_TEST_PROMPTS.md","QA_TEST_PROMPTS.md",".md","963","aiwf_atlas","canonical_lane","02_atlas_architecture_chunking_embedding","","2026-05-21T07:12:12.0000000Z"
"AIWF_Atlas_VOL1_machine_facing_v3_3_api_cli_guide/01_CANONICAL_RESEARCH_LANES/02_atlas_architecture_chunking_embedding/README_VOL1.md","README_VOL1.md",".md","1620","aiwf_atlas","canonical_lane","02_atlas_architecture_chunking_embedding","","2026-05-21T07:12:12.0000000Z"
"AIWF_Atlas_VOL1_machine_facing_v3_3_api_cli_guide/01_CANONICAL_RESEARCH_LANES/02_atlas_architecture_chunking_embedding/RETRIEVAL_CARDS.jsonl","RETRIEVAL_CARDS.jsonl",".jsonl","8271","aiwf_atlas","canonical_lane","02_atlas_architecture_chunking_embedding","","2026-05-21T07:12:12.0000000Z"
"AIWF_Atlas_VOL1_machine_facing_v3_3_api_cli_guide/01_CANONICAL_RESEARCH_LANES/02_atlas_architecture_chunking_embedding/SOURCE_COVERAGE.md","SOURCE_COVERAGE.md",".md","929","aiwf_atlas","canonical_lane","02_atlas_architecture_chunking_embedding","","2026-05-21T07:12:12.0000000Z"
"AIWF_Atlas_VOL1_machine_facing_v3_3_api_cli_guide/01_CANONICAL_RESEARCH_LANES/02_atlas_architecture_chunking_embedding/vol1_lane_manifest.json","vol1_lane_manifest.json",".json","897","aiwf_atlas","canonical_lane","02_atlas_architecture_chunking_embedding","","2026-05-21T07:12:12.0000000Z"
"AIWF_Atlas_VOL1_machine_facing_v3_3_api_cli_guide/01_CANONICAL_RESEARCH_LANES/02_atlas_architecture_chunking_embedding/VOL1_SCOPE.md","VOL1_SCOPE.md",".md","1059","aiwf_atlas","canonical_lane","02_atlas_architecture_chunking_embedding","","2026-05-21T07:12:12.0000000Z"
"AIWF_Atlas_VOL1_machine_facing_v3_3_api_cli_guide/01_CANONICAL_RESEARCH_LANES/03_comfyui_core_api_subgraph/CANONICAL_OVERVIEW.md","CANONICAL_OVERVIEW.md",".md","1609","aiwf_atlas","canonical_lane","03_comfyui_core_api_subgraph","","2026-05-21T07:12:12.0000000Z"
"AIWF_Atlas_VOL1_machine_facing_v3_3_api_cli_guide/01_CANONICAL_RESEARCH_LANES/03_comfyui_core_api_subgraph/CONCEPT_MAP.md","CONCEPT_MAP.md",".md","1476","aiwf_atlas","canonical_lane","03_comfyui_core_api_subgraph","","2026-05-21T07:12:12.0000000Z"
"AIWF_Atlas_VOL1_machine_facing_v3_3_api_cli_guide/01_CANONICAL_RESEARCH_LANES/03_comfyui_core_api_subgraph/EMBEDDING_AND_CHUNKING_STRATEGY.md","EMBEDDING_AND_CHUNKING_STRATEGY.md",".md","1456","aiwf_atlas","canonical_lane","03_comfyui_core_api_subgraph","","2026-05-21T07:12:12.0000000Z"
"AIWF_Atlas_VOL1_machine_facing_v3_3_api_cli_guide/01_CANONICAL_RESEARCH_LANES/03_comfyui_core_api_subgraph/GAP_AUDIT_AND_VOL2_QUEUE.md","GAP_AUDIT_AND_VOL2_QUEUE.md",".md","765","aiwf_atlas","canonical_lane","03_comfyui_core_api_subgraph","","2026-05-21T07:12:12.0000000Z"
"AIWF_Atlas_VOL1_machine_facing_v3_3_api_cli_guide/01_CANONICAL_RESEARCH_LANES/03_comfyui_core_api_subgraph/lane_profile.json","lane_profile.json",".json","985","aiwf_atlas","canonical_lane","03_comfyui_core_api_subgraph","","2026-05-21T07:12:12.0000000Z"
"AIWF_Atlas_VOL1_machine_facing_v3_3_api_cli_guide/01_CANONICAL_RESEARCH_LANES/03_comfyui_core_api_subgraph/QA_TEST_PROMPTS.md","QA_TEST_PROMPTS.md",".md","831","aiwf_atlas","canonical_lane","03_comfyui_core_api_subgraph","","2026-05-21T07:12:12.0000000Z"
"AIWF_Atlas_VOL1_machine_facing_v3_3_api_cli_guide/01_CANONICAL_RESEARCH_LANES/03_comfyui_core_api_subgraph/README_VOL1.md","README_VOL1.md",".md","1547","aiwf_atlas","canonical_lane","03_comfyui_core_api_subgraph","","2026-05-21T07:12:12.0000000Z"
"AIWF_Atlas_VOL1_machine_facing_v3_3_api_cli_guide/01_CANONICAL_RESEARCH_LANES/03_comfyui_core_api_subgraph/RETRIEVAL_CARDS.jsonl","RETRIEVAL_CARDS.jsonl",".jsonl","7920","aiwf_atlas","canonical_lane","03_comfyui_core_api_subgraph","","2026-05-21T07:12:12.0000000Z"
"AIWF_Atlas_VOL1_machine_facing_v3_3_api_cli_guide/01_CANONICAL_RESEARCH_LANES/03_comfyui_core_api_subgraph/SOURCE_COVERAGE.md","SOURCE_COVERAGE.md",".md","884","aiwf_atlas","canonical_lane","03_comfyui_core_api_subgraph","","2026-05-21T07:12:12.0000000Z"
"AIWF_Atlas_VOL1_machine_facing_v3_3_api_cli_guide/01_CANONICAL_RESEARCH_LANES/03_comfyui_core_api_subgraph/vol1_lane_manifest.json","vol1_lane_manifest.json",".json","824","aiwf_atlas","canonical_lane","03_comfyui_core_api_subgraph","","2026-05-21T07:12:12.0000000Z"
"AIWF_Atlas_VOL1_machine_facing_v3_3_api_cli_guide/01_CANONICAL_RESEARCH_LANES/03_comfyui_core_api_subgraph/VOL1_SCOPE.md","VOL1_SCOPE.md",".md","1069","aiwf_atlas","canonical_lane","03_comfyui_core_api_subgraph","","2026-05-21T07:12:12.0000000Z"
"AIWF_Atlas_VOL1_machine_facing_v3_3_api_cli_guide/01_CANONICAL_RESEARCH_LANES/04_comfyui_custom_node_ecosystem/CANONICAL_OVERVIEW.md","CANONICAL_OVERVIEW.md",".md","1604","aiwf_atlas","canonical_lane","04_comfyui_custom_node_ecosystem","","2026-05-21T07:12:12.0000000Z"
"AIWF_Atlas_VOL1_machine_facing_v3_3_api_cli_guide/01_CANONICAL_RESEARCH_LANES/04_comfyui_custom_node_ecosystem/CONCEPT_MAP.md","CONCEPT_MAP.md",".md","1451","aiwf_atlas","canonical_lane","04_comfyui_custom_node_ecosystem","","2026-05-21T07:12:12.0000000Z"
